Otros servicios,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Otros servicios
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.175296715
1969/03,-0.02187375
1969/04,0.043757059
1969/05,0.393561781
1969/06,0.152482615
1969/07,-0.152250459
1969/08,0.04356646
1969/09,-0.02177375
1969/10,1.110702828
1969/11,0.323010419
1969/12,0
1970/01,1.331055703
1970/02,0.423757537
1970/03,0.147689295
1970/04,0.526607308
1970/05,1.068730566
1970/06,0.808604801
1970/07,0.637641097
1970/08,0.245264902
1970/09,0.183424482
1970/10,0.834407635
1970/11,0.161463984
1970/12,0.100679031
1971/01,4.609521802
1971/02,2.001150387
1971/03,0.339581642
1971/04,0.094008996
1971/05,0.713729019
1971/06,0.5035776
1971/07,0.204065798
1971/08,-0.037039555
1971/09,0.037053279
1971/10,0.185197784
1971/11,0.240312058
1971/12,0.202853492
1972/01,0.312799281
1972/02,0.275197586
1972/03,0.493996205
1972/04,-0.018206222
1972/05,0.546219771
1972/06,0.977907029
1972/07,0.161416972
1972/08,0.196969477
1972/09,0.089355566
1972/10,0.392748597
1972/11,0.195638402
1972/12,1.863681987
1973/01,0.191684016
1973/02,0.295672184
1973/03,0.693585263
1973/04,0.878247166
1973/05,1.092534892
1973/06,0.60788239
1973/07,2.584752
1973/08,0.523595719
1973/09,0.553363568
1973/10,1.472950581
1973/11,1.499427449
1973/12,2.640272132
1974/01,1.653652788
1974/02,0.798312448
1974/03,1.449536049
1974/04,1.42877115
1974/05,0.479212808
1974/06,0.476927319
1974/07,0.69049574
1974/08,0.971390277
1974/09,2.645752558
1974/10,2.481014936
1974/11,1.102917804
1974/12,2.328068945
1975/01,1.703041434
1975/02,1.073783256
1975/03,1.252047809
1975/04,0.724460268
1975/05,1.599675301
1975/06,0.427222957
1975/07,0.413206887
1975/08,0.520446358
1975/09,1.167962795
1975/10,0.464206743
1975/11,0.213216213
1975/12,0.401966069
1976/01,2.119364551
1976/02,1.452799326
