"Ropa, calzado y accesorios",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Ropa, calzado y accesorios"
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,1.340346481
1969/03,2.888013317
1969/04,0.53074095
1969/05,0.164240535
1969/06,1.253197242
1969/07,-2.105243153
1969/08,-0.909834015
1969/09,-1.693310924
1969/10,3.566237027
1969/11,-1.885709244
1969/12,2.566579387
1970/01,0.244411015
1970/02,-1.462930369
1970/03,1.119365666
1970/04,-0.279635324
1970/05,0.011679145
1970/06,0.023355566
1970/07,0.922809096
1970/08,0.289326383
1970/09,-0.126923707
1970/10,0.161773322
1970/11,2.618824876
1970/12,0.258558724
1971/01,0.908283129
1971/02,0.377821539
1971/03,0.719565948
1971/04,0.978238417
1971/05,0.021796299
1971/06,-0.478855307
1971/07,0.032825886
1971/08,0.699594286
1971/09,0.206261334
1971/10,-0.130006076
1971/11,0.423051205
1971/12,0.313234256
1972/01,0.904481384
1972/02,-0.352157304
1972/03,0.353401834
1972/04,0.576250771
1972/05,0.307684148
1972/06,1.057769074
1972/07,2.260816289
1972/08,2.262020005
1972/09,0.740674249
1972/10,1.241920443
1972/11,1.315031018
1972/12,0.765190417
1973/01,1.922518198
1973/02,1.603327716
1973/03,1.039657991
1973/04,0.845187086
1973/05,1.320939991
1973/06,1.420607376
1973/07,1.950353267
1973/08,2.026088833
1973/09,1.3210726
1973/10,0.916894421
1973/11,1.475346319
1973/12,1.306057698
1974/01,2.837915401
1974/02,1.45076638
1974/03,1.422252181
1974/04,1.218386567
1974/05,1.037172785
1974/06,0.344680244
1974/07,0.201614606
1974/08,1.192331305
1974/09,1.509687562
1974/10,1.211541479
1974/11,1.09668859
1974/12,1.765474506
1975/01,0.459819513
1975/02,2.420421568
1975/03,0.710989946
1975/04,1.781761542
