Salud y cuidado personal,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Salud y cuidado personal
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.043532843
1969/03,0.38074661
1969/04,0.205862796
1969/05,0.075704638
1969/06,0.010806771
1969/07,0.432223973
1969/08,0.55942907
1969/09,0.791700184
1969/10,0.254721491
1969/11,0.338823369
1969/12,0.116077231
1970/01,1.212041688
1970/02,0.541486478
1970/03,0.09322139
1970/04,0.507065979
1970/05,0.360320681
1970/06,1.107942183
1970/07,0.081132123
1970/08,0.091246201
1970/09,0.506461209
1970/10,0.393007962
1970/11,0
1970/12,0
1971/01,1.62619215
1971/02,0.701304227
1971/03,0
1971/04,0.51985282
1971/05,0
1971/06,1.746664363
1971/07,-0.047916083
1971/08,0.498934298
1971/09,0.028644014
1971/10,0
1971/11,0.477224595
1971/12,0.189998704
1972/01,0.483539193
1972/02,0.575575255
1972/03,1.388502215
1972/04,0.388621833
1972/05,0.184359536
1972/06,0.542822272
1972/07,1.162182637
1972/08,1.736760601
1972/09,1.164750097
1972/10,0
1972/11,0
1972/12,0.017578799
1973/01,-0.035151424
1973/02,0.184609887
1973/03,0.658070277
1973/04,3.321108836
1973/05,0.042185868
1973/06,0.151805088
1973/07,0.092629161
1973/08,0.984256972
1973/09,1.366222692
1973/10,0.271185351
1973/11,0.82781573
1973/12,0.682822274
1974/01,2.397842864
1974/02,2.002700861
1974/03,0.850260667
1974/04,0.429211134
1974/05,0.557125627
1974/06,0.667888915
1974/07,0.512664905
1974/08,0.270042714
1974/09,0.770480341
1974/10,6.695860828
1974/11,0.542687396
1974/12,0.262972881
1975/01,3.319755273
1975/02,0.347354298
1975/03,0.51258418
1975/04,0.139090142
1975/05,0.866398412
1975/06,0.314724975
1975/07,0.398715379
1975/08,0.019532389
1975/09,0.175757149
1975/10,0.05848293
1975/11,0.707826246
1975/12,0
1976/01,3.843190703
1976/02,2.440377053
1976/03,1.024438765
1976/04,0.006000587
1976/05,1.997953554
1976/06,0.552925284
1976/07,0.32176907
1976/08,0.104944682
1976/09,3.541694903
1976/10,5.867788293
1976/11,2.518859508
1976/12,1.451378625
1977/01,2.048839373
1977/02,3.164272137
1977/03,0.606664394
1977/04,0.313553756
1977/05,0.331810182
1977/06,0.484076423
1977/07,1.731460638
1977/08,0.684547687
1977/09,1.131609801
1977/10,0.607816469
1977/11,0.370729207
1977/12,0.533509489
1978/01,2.943715667
1978/02,1.308586728
1978/03,3.296669938
1978/04,0.964157192
1978/05,0.070896537
1978/06,0.366716829
1978/07,0.132853555
1978/08,3.458156724
1978/09,0
1978/10,0.565107711
1978/11,0.015925994
1978/12,0.195261609
1979/01,2.517399285
1979/02,3.840485632
1979/03,1.93513688
1979/04,0.604710982
1979/05,0.968996167
1979/06,1.197816877
