Transporte,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Transporte
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.029231968
1969/03,0
1969/04,0.043891986
1969/05,0.087688643
1969/06,0.043834299
1969/07,0.131445272
1969/08,0.043700894
1969/09,0.087476916
1969/10,0.101948344
1969/11,0.203632473
1969/12,0.116141066
1970/01,0.536571589
1970/02,-0.014409384
1970/03,-0.014467537
1970/04,0.043296722
1970/05,0.230741159
1970/06,0.014374141
1970/07,0.071972214
1970/08,0.373740491
1970/09,-0.014308263
1970/10,0.028676296
1970/11,0
1970/12,0.2577344
1971/01,0.514199191
1971/02,0.05684097
1971/03,0.127860928
1971/04,0.028340499
1971/05,0.127661481
1971/06,3.101532678
1971/07,-1.359921997
1971/08,0.264593938
1971/09,0.388879022
1971/10,-0.013821292
1971/11,0.761029114
1971/12,0.315852629
1972/01,1.095165702
1972/02,0.270812283
1972/03,0.783260756
1972/04,-0.026824232
1972/05,0.053610757
1972/06,0.254527659
1972/07,0.280630421
1972/08,1.239129004
1972/09,0.131635828
1972/10,0.078836795
1972/11,0.157651483
1972/12,0.511407918
1973/01,0.28698617
1973/02,0.091073165
1973/03,0.259936177
1973/04,0.233361236
1973/05,0.21984729
1973/06,0.400053971
1973/07,0.141397062
1973/08,0.205359915
1973/09,0.486755141
1973/10,0.22941485
1973/11,0.890247618
1973/12,24.45482591
1974/01,2.846142399
1974/02,0.669708058
1974/03,0.205424466
1974/04,2.958127631
1974/05,0.180167697
1974/06,0.217703563
1974/07,0.651655223
1974/08,0.347208163
1974/09,0.953799603
1974/10,2.260074562
1974/11,13.77720315
1974/12,0.493594106
1975/01,2.455817822
1975/02,0.201046016
1975/03,1.041727909
1975/04,1.153207774
1975/05,0.113254738
1975/06,0.150825718
1975/07,1.046696679
1975/08,0.707940557
1975/09,0.022205828
1975/10,0.11836644
1975/11,0.036938597
1975/12,1.521647189
1976/01,1.833537252
1976/02,0.800235961
1976/03,0.212626083
1976/04,0.063677227
1976/05,0.30395045
1976/06,0.606058782
1976/07,0.266160575
1976/08,3.06693787
1976/09,2.440172146
1976/10,3.30179289
1976/11,17.25597934
1976/12,3.878506091
1977/01,2.571509231
1977/02,1.343260946
1977/03,1.295074264
1977/04,0.78409287
1977/05,0.901889014
1977/06,1.443876954
1977/07,1.49109165
1977/08,0.138324204
1977/09,0.509703853
1977/10,1.118473193
1977/11,0.792081952
1977/12,0.09766278
1978/01,3.716431264
1978/02,1.218314238
1978/03,0.194702523
1978/04,0.163421836
1978/05,0.445347376
1978/06,0.210705756
1978/07,0.464338692
1978/08,0.405513833
1978/09,1.103050096
1978/10,1.297203795
1978/11,0.602121487
1978/12,0.160172703
1979/01,1.725368171
1979/02,2.883385061
1979/03,1.206273053
1979/04,0.349613629
1979/05,0.312783462
1979/06,0.631486735
1979/07,0.909902944
1979/08,0.796772422
1979/09,0.601526569
1979/10,0.149482465
1979/11,1.048638791
1979/12,0.526460303
1980/01,4.694436406
1980/02,2.137621885
1980/03,2.395878302
1980/04,3.344582077
1980/05,0.775777318
1980/06,0.393173519
1980/07,1.550057963
1980/08,0.99815247
1980/09,0.734801713
1980/10,0.551055909
1980/11,1.317835224
1980/12,1.657130544
1981/01,3.696977935
1981/02,5.611740718
1981/03,2.022077407
1981/04,1.759022848
1981/05,0.976577081
1981/06,0.543841387
1981/07,0.722083506
1981/08,1.097860006
1981/09,0.952476663
1981/10,1.677034804
1981/11,0.828517105
1981/12,8.345975416
1982/01,14.02702015
1982/02,6.56106299
1982/03,2.342999797
1982/04,5.351850531
1982/05,3.302342785
1982/06,3.783020099
1982/07,3.332775133
1982/08,23.78770461
1982/09,2.745778646
1982/10,2.236263962
1982/11,4.709799159
1982/12,35.34829838
1983/01,12.24163989
1983/02,6.807723324
1983/03,2.66509312
1983/04,8.593726944
1983/05,3.938873451
1983/06,1.332079283
1983/07,2.349607363
1983/08,1.004016305
1983/09,1.265624042
1983/10,2.292992133
1983/11,13.95771406
1983/12,2.27532559
1984/01,3.701054884
1984/02,2.956500023
1984/03,3.6153147
1984/04,9.045449415
1984/05,4.427686438
1984/06,2.062030273
1984/07,2.05474437
1984/08,1.358649272
1984/09,2.438924385
1984/10,2.629074609
1984/11,2.371719303
1984/12,2.891280071
1985/01,16.33319813
1985/02,3.388779518
1985/03,2.750390198
1985/04,1.201285959
1985/05,0.742733916
1985/06,0.909864201
1985/07,2.489113652
1985/08,3.345425629
1985/09,3.09766953
1985/10,3.210538162
1985/11,4.690709999
1985/12,17.68346951
1986/01,7.744240514
1986/02,5.348922482
1986/03,2.154201444
1986/04,2.072537782
1986/05,2.351411276
1986/06,4.217032029
1986/07,6.163534816
1986/08,24.77685189
1986/09,5.305634531
1986/10,3.749431808
1986/11,8.920577057
1986/12,9.236691069
1987/01,6.41583166
1987/02,5.490676237
1987/03,4.623431812
1987/04,12.4134562
1987/05,11.20490331
1987/06,6.474039577
1987/07,6.974493801
1987/08,11.29159859
1987/09,3.126379267
1987/10,5.728282874
1987/11,8.066132032
1987/12,25.65651172
1988/01,22.57998191
1988/02,3.992023591
1988/03,0.695085908
1988/04,0.69945284
1988/05,0.267295886
1988/06,-0.030306414
1988/07,-0.166883492
1988/08,0.115648244
1988/09,-0.079988755
1988/10,-0.045952053
1988/11,0.309388705
1988/12,0.676437466
1989/01,0.613993542
1989/02,0.55449618
1989/03,1.160346592
1989/04,1.345897418
1989/05,0.490337067
1989/06,0.180578856
1989/07,0.229553504
1989/08,-0.084591063
1989/09,0.338417168
1989/10,0.905372964
1989/11,1.278208261
1989/12,4.142552073
1990/01,8.446197406
1990/02,1.333399384
1990/03,0.862185298
1990/04,1.373450803
1990/05,2.0228194
1990/06,4.088470242
1990/07,1.272118176
1990/08,0.403470101
1990/09,0.748442187
1990/10,1.76479874
1990/11,4.808737026
1990/12,4.000931494
1991/01,1.658052459
1991/02,1.401036971
1991/03,1.465003074
1991/04,0.624923163
1991/05,0.97228428
1991/06,0.36629142
1991/07,0.405869591
1991/08,0.474829373
1991/09,0.729246461
1991/10,1.496318327
1991/11,12.10454063
1991/12,5.276078017
1992/01,0.838399424
1992/02,1.199710204
1992/03,1.289681005
1992/04,0.789368104
1992/05,0.570160736
1992/06,0.829066181
1992/07,0.773588445
1992/08,0.645427393
1992/09,0.305132562
1992/10,0.630903409
1992/11,0.759164244
1992/12,1.023370775
1993/01,1.32451181
1993/02,1.05002172
1993/03,0.986101586
1993/04,0.978207074
1993/05,0.581396226
1993/06,0.481952237
1993/07,0.456755831
1993/08,0.338657787
1993/09,0.514405683
1993/10,0.737671052
1993/11,0.549110348
1993/12,0.219946577
1994/01,0.647136259
1994/02,0.786722649
1994/03,0.901763446
1994/04,0.637128745
1994/05,0.551723411
1994/06,0.531296947
1994/07,0.260326939
1994/08,0.204748212
1994/09,0.339523132
1994/10,0.238411542
1994/11,0.618707782
1994/12,1.012548111
1995/01,5.111635792
1995/02,2.935207419
1995/03,13.94370813
1995/04,11.90067961
1995/05,3.4141455
1995/06,1.305203764
1995/07,0.378581574
1995/08,0.61764784
1995/09,0.86286103
1995/10,0.928089562
1995/11,1.325703083
1995/12,3.502294606
1996/01,4.60733507
1996/02,1.894587507
1996/03,2.067061
1996/04,3.340747029
1996/05,1.300199674
1996/06,1.148808497
1996/07,1.428633289
1996/08,1.031698167
1996/09,1.14319523
1996/10,0.935975527
1996/11,1.280724456
1996/12,9.359049668
1997/01,2.138355385
1997/02,2.13063764
1997/03,1.94466091
1997/04,1.755996839
1997/05,0.807799078
1997/06,0.710957313
1997/07,1.050827562
1997/08,0.777294754
1997/09,0.512807662
1997/10,0.539689386
1997/11,0.676879095
1997/12,1.795338026
1998/01,2.878974213
1998/02,1.454859005
1998/03,1.031457527
1998/04,0.722678719
1998/05,0.497310349
1998/06,0.535646158
1998/07,0.993067689
1998/08,0.876899263
1998/09,0.89546184
1998/10,0.657959673
1998/11,2.930207392
1998/12,4.871896191
1999/01,1.936074228
1999/02,2.063985526
1999/03,1.381038612
1999/04,1.059544354
1999/05,0.776385253
1999/06,0.455978932
1999/07,0.807122888
1999/08,0.515836937
1999/09,0.652870847
1999/10,0.513223371
1999/11,0.670261264
1999/12,0.817748186
2000/01,1.740586923
2000/02,1.272872384
2000/03,0.604881517
2000/04,0.497761226
2000/05,0.370752808
2000/06,0.303186617
2000/07,0.366266871
2000/08,0.478793064
2000/09,0.33146166
2000/10,0.395028119
2000/11,0.840104516
2000/12,0.60579353
2001/01,0.463253029
2001/02,0.413101121
2001/03,0.209136034
2001/04,0.397927808
2001/05,0.270152157
2001/06,0.38002718
2001/07,0.258091488
2001/08,0.269337482
2001/09,0.24728686
2001/10,0.237251445
2001/11,0.229167384
2001/12,0.39483207
2002/01,2.099892402
2002/02,0.571379266
2002/03,0.281336371
2002/04,0.433525641
2002/05,0.216859814
2002/06,0.136789747
2002/07,0.132742399
2002/08,0.041944214
2002/09,0.086848016
2002/10,0.152600188
2002/11,0.236020515
2002/12,-0.487819417
2003/01,0.449276665
2003/02,0.510878532
2003/03,0.38368356
2003/04,0.114271079
2003/05,-0.249928662
2003/06,-0.004932182
2003/07,0.105553911
2003/08,0.314356948
2003/09,0.4646548
2003/10,0.048890671
2003/11,0.078186847
2003/12,0.226564713
2004/01,1.103954945
2004/02,0.992637138
2004/03,0.609767735
2004/04,0.768260412
2004/05,0.338845853
2004/06,0.496233689
2004/07,-0.197886719
2004/08,0.174897119
2004/09,0.190463742
2004/10,0.33547353
2004/11,0.24704888
2004/12,0.199190268
2005/01,0.48820179
2005/02,0.398417372
2005/03,0.374840761
2005/04,0.515878088
2005/05,0.184399611
2005/06,0.184966905
2005/07,0.246167213
2005/08,0.046945814
2005/09,0.13174755
2005/10,0.310010454
2005/11,0.220109965
2005/12,0.342438124
2006/01,0.533345245
2006/02,0.111968151
2006/03,0.360382751
2006/04,0.988820491
2006/05,-0.025398049
2006/06,0.165567265
2006/07,0.321841493
2006/08,0.342603086
2006/09,0.165069546
2006/10,-0.184746689
2006/11,0.215502259
2006/12,0.498577969
2007/01,0.408099877
2007/02,0.284422905
2007/03,0.490116274
2007/04,0.27711696
2007/05,0.163259753
2007/06,0.264864681
2007/07,0.303959088
2007/08,0.201743946
2007/09,0.177750072
2007/10,0.060546432
2007/11,0.222709662
2007/12,0.258272259
2008/01,0.211605694
2008/02,0.21115887
2008/03,0.726255122
2008/04,0.34562593
2008/05,0.245554475
2008/06,0.311534162
2008/07,0.674396689
2008/08,0.926272607
2008/09,0.762927836
2008/10,0.63549487
2008/11,0.516956162
2008/12,-0.220752299
2009/01,0.892892544
2009/02,0.474719609
2009/03,0.509242238
2009/04,0.084054542
2009/05,-0.101091791
2009/06,0.349508819
2009/07,0.550750495
2009/08,0.627193828
2009/09,0.207761542
2009/10,0.353456916
2009/11,0.562624361
2009/12,0.714886778
2010/01,1.540059615
2010/02,0.607866684
2010/03,0.83187197
2010/04,0.452329974
2010/05,0.44374609
2010/06,0.606187897
2010/07,0.619092526
2010/08,0.063674673
2010/09,0.285281206
2010/10,0.181803923
2010/11,0.481795667
2010/12,0.563059075
2011/01,0.665712736
2011/02,0.26844303
2011/03,0.194348042
2011/04,0.354294084
2011/05,0.158770857
2011/06,0.32589967
2011/07,0.75567245
2011/08,0.3769505
2011/09,0.396883157
2011/10,0.372117299
2011/11,0.456440725
2011/12,0.554059106
2012/01,0.523360566
2012/02,0.264585388
2012/03,0.210920578
2012/04,0.257668712
2012/05,0.353030888
2012/06,0.383684497
2012/07,0.428009383
2012/08,0.316382078
2012/09,0.397940726
2012/10,0.412994068
2012/11,0.549314048
2012/12,0.351397354
2013/01,0.429501559
2013/02,0.618343276
2013/03,0.657859115
2013/04,1.129609209
2013/05,0.264177371
2013/06,0.77276063
2013/07,0.43606054
2013/08,0.392235656
2013/09,0.441172632
2013/10,0.297154936
2013/11,0.404246314
2013/12,1.261194608
2014/01,1.300709401
2014/02,0.424368479
2014/03,0.384994405
2014/04,0.479189371
2014/05,0.293925268
2014/06,0.271600046
2014/07,0.46516223
2014/08,0.031959878
2014/09,0.232659113
2014/10,0.307312568
2014/11,-0.029333399
2014/12,0.205394039
2015/01,-0.099232978
2015/02,0.203548253
2015/03,1.256997993
2015/04,-0.275241137
2015/05,0.592234963
2015/06,0.408764029
2015/07,0.273258871
