Vivienda,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Vivienda
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,-0.031864327
1969/03,-0.010624828
1969/04,0.031877871
1969/05,0.180513119
1969/06,0.021206865
1969/07,0.688759855
1969/08,0
1969/09,0.368363358
1969/10,3.334363748
1969/11,0.639276861
1969/12,0.0201741
1970/01,1.764107129
1970/02,0.039607832
1970/03,0.396086072
1970/04,-0.01973437
1970/05,-0.029574604
1970/06,0.00987205
1970/07,0.049322589
1970/08,0.769236566
1970/09,-0.019581789
1970/10,0.137034302
1970/11,1.984375685
1970/12,0.239600735
1971/01,0.076497864
1971/02,-0.009558893
1971/03,0.162453206
1971/04,0.57240447
1971/05,0
1971/06,0.313043272
1971/07,0
1971/08,3.262412015
1971/09,0.119038381
1971/10,0.201252141
1971/11,-0.027396628
1971/12,1.397003993
1972/01,0.063032079
1972/02,-0.018006366
1972/03,0.081013323
1972/04,1.627832872
1972/05,0.230100078
1972/06,0.309040137
1972/07,-0.035223437
1972/08,0.070442426
1972/09,0.439933297
1972/10,-0.210224419
1972/11,0
1972/12,0.078985644
1973/01,2.771937006
1973/02,0.349958738
1973/03,0.153110135
1973/04,2.174080562
1973/05,0.315849584
1973/06,0.720864818
1973/07,1.003617352
1973/08,1.368298868
1973/09,1.414108017
1973/10,2.321349809
1973/11,0.108396622
1973/12,1.17564735
1974/01,0.351655142
1974/02,0.708466915
1974/03,0.34039012
1974/04,0.859401348
1974/05,0.014955284
1974/06,0.097145137
1974/07,2.97894758
1974/08,1.000507724
1974/09,0.696304566
1974/10,0.520376496
1974/11,1.311966993
1974/12,0.209993806
1975/01,3.695166846
1975/02,0.154934345
1975/03,0.901252938
1975/04,0.933214936
1975/05,0.363232
1975/06,2.88873424
1975/07,0.274998108
1975/08,2.225918754
1975/09,0.361857748
1975/10,0.839231148
1975/11,1.47340261
1975/12,0.06683747
1976/01,3.861331635
1976/02,3.600852927
1976/03,1.021283459
1976/04,0.134050696
1976/05,0.898036685
1976/06,0.171375687
1976/07,1.749436328
1976/08,0.629172089
1976/09,0.70608696
1976/10,3.09356347
1976/11,2.40368613
1976/12,0.136890947
1977/01,2.713648086
1977/02,4.884649364
1977/03,2.307440472
1977/04,0.133222818
1977/05,0.633056627
1977/06,0.460396882
1977/07,0.186047578
1977/08,1.988318953
1977/09,1.145745081
1977/10,2.151386537
1977/11,2.037305554
1977/12,4.039597674
1978/01,4.073043081
1978/02,3.100564002
1978/03,0.135835007
1978/04,0.504942404
1978/05,-0.097485393
1978/06,0.720559103
1978/07,1.613377826
1978/08,0.12467989
1978/09,1.347738751
1978/10,1.152743671
1978/11,1.550450557
1978/12,0.077392421
1979/01,5.065382766
1979/02,1.328245646
1979/03,1.822624645
1979/04,0.346974106
1979/05,-0.258517162
1979/06,0.699812993
1979/07,0.678877057
1979/08,1.303850136
1979/09,1.69085104
1979/10,2.140464366
1979/11,1.184473115
1979/12,3.508819886
1980/01,1.577497341
1980/02,2.620683739
1980/03,2.651128637
1980/04,1.21409627
1980/05,1.162040159
1980/06,1.217511189
1980/07,1.890594456
1980/08,1.593738188
1980/09,1.902181329
1980/10,2.501306977
1980/11,2.275803589
1980/12,2.66026464
1981/01,3.694663025
1981/02,2.647826312
1981/03,2.733173274
1981/04,2.001137282
1981/05,0.918985265
1981/06,1.538840218
1981/07,1.29383163
1981/08,1.643393866
1981/09,2.213824348
1981/10,2.792088781
1981/11,1.866719736
1981/12,2.85118864
1982/01,2.736582685
1982/02,4.344286466
1982/03,3.810112402
1982/04,3.775721844
1982/05,4.791599755
1982/06,5.97716605
1982/07,5.070224321
1982/08,8.356646907
1982/09,4.608058235
1982/10,4.421367203
